name,short_desc,long_desc
Destination Port,Port number on the destination machine,"The network port on the destination host that received the traffic. For example, port 80 is commonly used for HTTP web traffic, while port 443 is for HTTPS."
Flow Duration,Total time duration of the flow,"Measured in microseconds, this is the time between the first and last packet in a flow. For example, a flow lasting 2 seconds would have a value of 2,000,000."
Total Fwd Packets,Packets sent from source to destination,"The total number of packets sent in the forward direction (client to server). A high number may indicate large uploads or flooding behavior."
Total Backward Packets,Packets sent from destination to source,"The total number of packets sent in the reverse direction (server to client). Useful for identifying response patterns or download activity."
Total Length of Fwd Packets,Total size of forward packets,"Sum of the sizes (in bytes) of all packets sent from source to destination. For example, a file upload might result in a high value here."
Total Length of Bwd Packets,Total size of backward packets,"Sum of the sizes (in bytes) of all packets sent from destination to source. Often high in downloads or server responses."
Fwd Packet Length Max,Largest forward packet size,"The size of the largest packet sent in the forward direction. Oversized packets may indicate anomalies or file transfers."
Fwd Packet Length Min,Smallest forward packet size,"The size of the smallest packet sent in the forward direction. Very small values may suggest scanning or probing behavior."
Fwd Packet Length Mean,Average forward packet size,"The mean size of packets sent from source to destination. Helps characterize traffic type — e.g., video streams vs. text requests."
Fwd Packet Length Std,Variation in forward packet sizes,"Standard deviation of forward packet sizes. High values suggest inconsistent traffic, possibly due to irregular or malicious activity."
Bwd Packet Length Max,Largest backward packet size,"The size of the largest packet sent from destination to source. For example, a large file download might produce a high value here."
Bwd Packet Length Min,Smallest backward packet size,"The size of the smallest packet sent from destination to source. Very small values may indicate acknowledgments or control packets."
Bwd Packet Length Mean,Average backward packet size,"The mean size of packets sent from destination to source. Helps identify the nature of server responses — e.g., streaming vs. text."
Bwd Packet Length Std,Variation in backward packet sizes,"Standard deviation of backward packet sizes. High values suggest inconsistent server responses or irregular traffic."
Flow Bytes/s,Bytes per second in the flow,"The rate of data transfer in bytes per second. For example, a video stream might have a high value, while a login attempt might be low."
Flow Packets/s,Packets per second in the flow,"The rate of packet transmission. DDoS attacks often show extremely high packet rates compared to normal traffic."
Flow IAT Mean,Average time between packets,"Mean inter-arrival time between packets in the entire flow. Low values suggest rapid packet bursts, typical in flooding attacks."
